,Please use link below to make entry,,,,Top 10%,25-50%,75-100%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/5/2014 22:59:16,12/5/2014,boske83,,ITA Received,No,2173,85,126,128,0,339,8,20,0,28,100,467,No,No,0,467,Yes,1/1/2015,Yes,Yes,3/27/2015,,,,,,0,0,0,0,0
1/3/2015 2:47:49,1/2/2015,iCanadian,iCanadian,ITA Received,No,2132,100,112,99,46,357,8,14,0,22,88,467,No,No,0,467,Yes,1/1/2015,Yes,Yes,3/27/2015,,,,,,0,0,0,0,0
2/17/2015 13:01:08,2/17/2015,Globaldesi,Bhawesh Chawda,ITA Received,No,601,99,135,133,0,367,0,0,0,0,100,467,No,No,0,467,Yes,2/15/2015,Yes,Yes,3/27/2015,,,,FSW,,0,0,0,0,0
12/25/2014 18:23:40,12/25/2014,426Hemi,Chrysler,ITA Received,No,2173,95,119,125,0,339,9,18,0,27,100,466,No,No,0,466,Yes,1/1/2015,Yes,Yes,3/27/2015,,,,,,0,0,0,0,0
2/21/2015 5:07:09,1/29/2015,plasticrhythm,Will,ITA Received,No,1243,100,112,118,35,365,0,20,5,5,76,466,No,No,0,466,Yes,,Yes,Yes,3/27/2015,,,,CEC,,0,0,20,0,20
2/11/2015 23:41:58,2/11/2015,dobes,dobes,ITA Received,No,1123,75,112,128,35,350,8,20,0,28,88,466,No,No,0,466,Yes,2/9/2015,Yes,Yes,3/27/2015,,,,"FSW, CEC",,0,0,0,0,0
3/13/2015 7:30:59,3/12/2015,NineM,NineM,ITA Received,No,4151,85,126,125,0,336,10,20,0,30,100,466,No,No,0,466,Yes,3/12/2015,Yes,Yes,3/27/2015,,,,FSW,,0,0,0,0,0
3/2/2015 20:30:03,1/15/2015,YamPower,LL,ITA Received,No,213,94,135,136,0,365,0,0,0,0,100,465,No,No,0,465,Yes,3/2/2015,Yes,Yes,3/27/2015,,,,FSW,,0,0,0,0,0
2/23/2015 9:15:55,2/23/2015,mukikhan,Muki Khan,ITA Received,No,4011,80,140,125,0,345,8,12,0,20,100,465,No,No,0,465,Yes,2/22/2015,Yes,Yes,3/27/2015,,,,FSW,,0,0,0,0,0
1/2/2015 14:24:27,1/2/2015,neologi,moh,ITA Received,Yes,2173,99,135,130,,364,,,,0,100,464,No,No,0,464,Yes,1/1/2015,Yes,Yes,3/27/2015,,,,,,0,0,0,0,0
12/6/2014 1:34:06,12/5/2014,gks,Gabriel,ITA Received,No,2131,110,135,142,0,387,0,,0,0,75,462,No,No,0,462,Yes,1/1/2015,Yes,Yes,3/27/2015,,,,,,0,0,0,0,0
12/10/2014 1:05:40,12/9/2014,rgpannain,Roberto Pannain',ITA Received,No,2171,100,126,116,,342,10,10,,20,100,462,No,No,0,462,Yes,1/1/2015,Yes,Yes,3/27/2015,,,,,,0,0,0,0,0
1/12/2015 22:28:12,1/8/2015,jaimichael,jai,ITA Received,Yes,4153,110,128,108,40,386,,,,0,76,462,No,No,0,462,Yes,1/8/2015,Yes,Yes,3/27/2015,,,,"FSW, CEC",,0,0,0,0,0
3/2/2015 20:23:03,3/2/2015,kakhileshreddy,akhilesh,ITA Received,No,2172,100,112,112,35,366,8,10,0,18,76,462,No,No,0,462,Yes,1/13/2015,Yes,Yes,3/27/2015,,,,"FSW, PNP, CEC",,9,9,2,0,2
2/10/2015 22:01:10,2/10/2015,--,san,ITA Received,No,2174,100,112,125,35,372,,,,0,88,460,No,No,0,460,Yes,1/1/2015,Yes,Yes,3/27/2015,,,,CEC,,0,0,0,0,0
2/22/2015 23:16:46,2/22/2015,Ritwick,Ritwick,ITA Received,No,2174,110,135,125,40,410,0,0,0,0,50,460,No,No,0,460,Yes,2/12/2015,Yes,Yes,3/27/2015,2/13/2015,,,"FSW, CEC",,0,0,0,0,0
1/31/2015 21:12:06,1/31/2015,Maple-Eh,,ITA Received,No,2281,94,135,130,0,359,0,0,0,0,100,459,Yes,No,0,459,Yes,1/13/2015,Yes,Yes,3/27/2015,,,,FSW,,0,0,0,0,0
3/11/2015 8:29:27,3/10/2015,vancitychris,chris,ITA Received,No,1312,100,112,118,35,365,0,18,0,18,76,459,No,No,0,459,Yes,3/10/2015,Yes,Yes,3/27/2015,,,,"FSW, CEC",,0,0,0,0,0
12/24/2014 11:17:06,12/24/2014,rsrk,Sivaramakrishna R,ITA Received,No,2173,100,126,128,0,354,10,20,0,30,74,458,No,No,0,458,Yes,1/1/2015,Yes,Yes,3/27/2015,,,,,,0,0,0,0,0
1/24/2015 12:04:19,1/23/2015,92421057,panku,ITA Received,Yes,2133,90,140,128,50,408,0,0,0,0,50,458,No,No,0,458,Yes,1/15/2015,Yes,Yes,3/27/2015,,,,FSW,,0,0,0,0,0
12/3/2014 14:02:03,12/3/2014,-,Olga,ITA Received,No,2174,100,119,125,0,344,2,11,0,13,100,457,No,No,0,457,Yes,1/1/2015,Yes,Yes,3/27/2015,,,,,,0,0,0,0,0
12/3/2014 19:02:09,12/3/2014,LittleOwl,Owl,ITA Received,Yes,5125,99,128,130,0,357,0,,0,0,100,457,No,No,0,457,Yes,1/1/2015,Yes,Yes,3/27/2015,,,,,,0,0,0,0,0
12/24/2014 14:09:14,12/24/2014,iamyyang,amy,ITA Received,Yes,5125,77,150,130,0,357,0,0,0,0,100,457,No,No,0,457,Yes,1/1/2015,Yes,Yes,3/27/2015,,,,,,0,0,0,0,0
3/21/2015 19:44:55,3/21/2015,khaledmahmud,Khaled Mahmud,ITA Received,Yes,4011,95,126,122,0,343,0,14,0,14,100,457,No,No,0,457,Yes,2/3/2015,Yes,Yes,3/27/2015,,,,,,0,0,0,0,0
12/4/2014 6:45:46,12/3/2014,Devane,Devane,ITA Received,Yes,1123,110,128,102,40,380,0,0,0,0,76,456,No,No,0,456,Yes,1/1/2015,Yes,Yes,3/27/2015,,,,,,0,0,0,0,0
12/24/2014 10:51:33,12/24/2014,DRSV,,ITA Received,Yes,2171,77,135,124,,336,10,10,,20,100,456,No,No,0,456,Yes,1/1/2015,Yes,Yes,3/27/2015,,,,,,0,0,0,0,0
1/16/2015 16:18:00,12/30/2014,TheCorwoodRep,,ITA Received,Yes,2145,110,135,136,0,381,0,0,0,0,75,456,No,No,0,456,Yes,1/1/2015,Yes,Yes,3/27/2015,,,,FSW,,0,0,0,0,0
1/3/2015 8:37:27,1/3/2015,m_dewan33,m_dewan33,ITA Received,Yes,1311,110,135,136,0,381,,,,0,75,456,No,No,0,456,Yes,1/1/2015,Yes,Yes,3/27/2015,,,,,,0,0,0,0,0
1/27/2015 16:03:10,1/26/2015,asamer538,Samer A,ITA Received,No,2263,110,135,136,0,381,0,0,0,0,75,456,No,No,0,456,Yes,1/27/2015,Yes,Yes,3/27/2015,,,,FSW,,0,0,0,0,0
3/28/2015 9:19:54,12/30/2014,TheCorwoodRep,,ITA Received,Yes,2145,110,135,136,0,381,0,0,0,0,75,456,No,No,0,456,Yes,3/15/2015,Yes,Yes,3/27/2015,,,,FSW,,0,0,0,0,0
3/27/2015 16:39:39,3/27/2015,GBOSE,GBOSE,ITA Received,Yes,2132,85,126,96,35,342,0,14,0,14,100,114,No,No,0,456,Yes,3/25/2015,Yes,Yes,3/27/2015,,,,"FSW, CEC",,,,,,
12/4/2014 2:23:10,12/3/2014,MrBank,,ITA Received,Yes,2113,85,126,116,0,327,8,20,0,28,100,455,No,No,0,455,Yes,1/1/2015,Yes,Yes,3/27/2015,,,,,,0,0,0,0,0
2/21/2015 23:17:08,2/21/2015,canexpent,NA,ITA Received,Yes,2173,80,126,119,0,325,10,20,0,30,100,455,No,No,0,455,Yes,2/16/2015,Yes,Yes,3/27/2015,,,,FSW,,0,0,0,0,0
12/24/2014 9:25:14,12/23/2014,Omini,Omini,ITA Received,No,2282,100,112,96,46,354,,,,0,100,454,No,,0,454,Yes,1/1/2015,Yes,Yes,3/27/2015,,,,,,0,0,0,0,0
1/13/2015 14:43:41,1/13/2015,wolf_metallo,Wolf,ITA Received,Yes,2171,100,126,128,0,354,0,0,0,0,100,454,No,No,0,454,Yes,1/13/2015,Yes,Yes,3/27/2015,,,,FSW,,0,0,0,0,0
3/20/2015 16:58:35,3/20/2015,Partishead,Andrew,ITA Received,No,6221,95,140,119,0,354,0,0,0,0,100,454,No,No,0,454,Yes,3/19/2015,Yes,Yes,3/27/2015,,,,,,0,0,0,0,0
3/21/2015 23:42:50,3/21/2015,rakeshk_007,Rakesh,ITA Received,No,2173,90,126,122,0,338,,16,,16,100,454,No,No,0,454,Yes,2/17/2015,Yes,Yes,3/27/2015,,,,,,0,0,0,0,0
12/3/2014 9:53:09,12/3/2014,fakenoob,Why Do You Care,ITA Received,Yes,113,94,135,124,0,353,0,0,0,0,100,453,No,No,0,453,Yes,1/1/2015,Yes,Yes,3/27/2015,,,,,,0,0,0,0,0
12/23/2014 14:25:07,12/22/2014,engrmuhammad,Muhammad Ali,ITA Received,No,4011,88,135,150,0,373,10,20,0,30,50,453,No,No,0,453,Yes,1/1/2015,Yes,Yes,3/27/2015,,,,,,0,0,0,0,0
1/5/2015 18:52:47,1/5/2015,NO_ID,FAR_HOPES,ITA Received,No,2174,88,0,0,0,0,0,0,0,0,0,453,No,No,0,453,Yes,1/5/2015,Yes,Yes,3/27/2015,,,,FSW,,365,365,453,0,453
1/28/2015 0:27:42,1/27/2015,variazioni,NA,ITA Received,Yes,4011,110,135,133,0,378,0,0,0,0,75,453,No,No,0,453,No,,Yes,Yes,3/27/2015,,,,FSW,,0,0,0,0,0
2/5/2015 20:03:35,2/5/2015,sketos,Emmanouil,ITA Received,Yes,4012,110,135,133,0,378,0,0,0,0,75,453,No,No,0,453,Yes,2/5/2015,Yes,Yes,3/27/2015,,,,FSW,,0,0,0,0,0
3/17/2015 22:00:34,3/17/2015,neatransa,,0%,Yes,3113,100,126,122,0,348,0,4,0,4,100,452,No,No,0,452,Yes,2/15/2015,No,,,,,,,,0,0,0,0,0
12/6/2014 2:30:23,12/5/2014,islem1980,bouregbi,0%,Yes,2250,70,119,88,70,347,0,0,0,0,100,451,No,No,0,451,Yes,1/1/2015,,,,,,,,,4,4,4,0,4
12/15/2014 18:08:56,12/15/2014,more,more,0%,No,1114,90,128,119,0,337,6,8,0,14,100,451,No,No,0,451,Yes,1/1/2015,,,,,,,,,0,0,0,0,0
1/10/2015 5:27:48,1/9/2015,Sunny,Sunny,0%,No,2174,110,135,,40,401,,,,0,50,451,No,No,0,451,No,,,,,,,,CEC,,116,116,0,0,0
1/14/2015 1:18:13,1/13/2015,400,drdebs,0%,Yes,3112,100,126,125,0,351,0,0,0,0,100,451,No,No,0,451,Yes,1/13/2015,,,,,,,FSW,,0,0,0,0,0
1/23/2015 15:06:15,1/23/2015,Kboypalaboy,KA,0%,No,2173,100,126,125,0,351,0,0,0,0,100,451,No,No,0,451,Yes,1/22/2015,,,,,,,FSW,,0,0,0,0,0
2/12/2015 14:32:18,2/12/2015,Charu,Charu,0%,Yes,2283,70,126,125,0,321,10,20,0,30,100,451,No,No,0,451,Yes,1/17/2015,No,,,,,,FSW,,0,0,0,0,0
2/24/2015 11:01:43,2/24/2015,vjrobs,Vjain,0%,No,1114,100,126,125,0,351,0,0,0,0,100,451,No,No,0,451,Yes,2/23/2015,No,,,,,,FSW,,0,0,0,0,0
1/7/2015 3:34:09,1/2/2015,CanadaTheDream,Os,1%,Yes,3233,110,135,130,0,375,0,0,0,0,75,450,No,No,0,450,Yes,1/2/2015,,,,,,,FSW,,0,0,0,0,0
1/17/2015 5:57:11,1/16/2015,CEC2015,NAR,1%,No,2174,100,119,83,35,337,9,4,0,13,100,450,No,No,0,450,Yes,1/16/2015,,,,,,,CEC,,0,0,0,0,0
2/10/2015 9:08:00,2/2/2015,123456,Testign,1%,,123,,,,,123,,,,20,50,450,No,No,0,450,Yes,,No,,,,,,,,400,400,257,0,257
12/3/2014 10:26:59,12/3/2014,maddy,maddy,2%,Yes,4011,80,140,119,0,339,0,10,0,10,100,449,No,No,0,449,Yes,1/1/2015,,,,,,,,,0,0,0,0,0
3/5/2015 10:04:12,3/4/2015,uxd,,2%,No,2174,,,,,349,,,,0,100,449,Yes,No,0,449,Yes,3/4/2015,No,,,,,,CEC,,349,349,0,0,0
3/23/2015 19:50:02,3/23/2015,kabba,Kiran S,2%,No,2171,100,126,128,0,354,0,20,0,20,75,449,No,No,0,449,Yes,3/22/2015,No,,,,,,FSW,,,,,,
3/23/2015 22:46:51,3/23/2015,manbir42 ,manbir sandhu,2%,No,311,,,,,374,,,,0,75,449,No,No,0,449,Yes,2/18/2015,No,,,,,,FSW,,,,,,
3/26/2015 1:59:46,3/2/2015,juliegunawan,Julie,2%,Yes,1221,110,135,114,40,399,0,0,0,0,50,449,No,No,0,449,Yes,3/2/2015,No,,,,,,"FSW, CEC",,,,,,
12/25/2014 3:11:52,12/24/2014,Curious_123,Curious,2%,No,2282,100,126,125,35,386,,12,,12,50,448,No,No,0,448,Yes,1/1/2015,,,,,,,,,0,0,0,0,0
2/12/2015 14:27:58,2/12/2015,Suhail,Suhail,2%,Yes,2173,70,126,122,0,318,10,20,0,30,100,448,No,No,0,448,Yes,,No,,,,,,FSW,,0,0,0,0,0
2/19/2015 4:10:48,2/18/2015,aman,Amandeep,2%,No,122,100,126,122,0,348,,,,0,100,448,No,No,0,448,Yes,2/18/2015,No,,,,,,FSW,,0,0,0,0,0
3/2/2015 3:10:44,3/1/2015,rb-jam,,3%,No,2171,70,126,125,0,321,8,18,0,26,100,447,No,No,0,447,Yes,1/22/2015,No,,,,,,FSW,,0,0,0,0,0
3/14/2015 23:51:27,3/14/2015,Lady,Lady,3%,No,2148,85,119,125,,329,,18,,18,100,447,No,No,0,447,Yes,2/5/2015,No,,,,,,FSW,,0,0,0,0,0
12/19/2014 16:14:39,12/19/2014,Rashmeen,,3%,No,1123,110,135,136,,381,0,0,0,0,65,446,No,No,0,446,Yes,1/1/2015,,,,,,,,,0,0,0,0,0
2/17/2015 18:28:59,2/17/2015,chohvally,chohvally,3%,No,1223,105,120,105,40,370,,,,0,76,446,No,No,0,446,Yes,2/2/2015,No,,,,,,CEC,,0,0,0,0,0
12/3/2014 22:19:19,12/2/2014,a3449655,,3%,No,1221,110,128,116,40,394,0,,0,0,50,444,No,No,0,444,Yes,1/1/2015,,,,,,,,,0,0,0,0,0
1/4/2015 12:06:19,1/4/2015,zareef,,3%,No,2174,,,,,406,,,,0,38,444,No,No,0,444,Yes,4/1/2015,,,,,,,,,406,406,0,0,0
1/8/2015 8:20:15,1/7/2015,cec,cec,3%,No,1114,103,,100,,103,,,,0,53,444,Yes,No,0,444,Yes,1/7/2015,,,,,,,CEC,,188,188,288,0,288
1/9/2015 10:12:49,1/6/2015,ilovespace,tach1,3%,No,2171,110,120,136,40,406,,,,0,38,444,No,No,0,444,Yes,1/6/2015,,,,,,,"FSW, CEC",,0,0,0,0,0
2/5/2015 21:19:18,1/28/2015,mississaugaapplicant,,3%,No,1223,110,120,136,40,406,,,,0,38,444,No,No,0,444,Yes,2/5/2015,No,,,,,,"FSW, CEC",,0,0,0,0,0
2/17/2015 18:03:58,2/17/2015,kkuma,kalyan,3%,Yes,1312,110,135,124,0,369,0,0,0,0,75,444,No,,0,444,No,,No,,,,,,,,0,0,0,0,0
2/18/2015 7:40:01,2/17/2015,noid,,3%,No,4011,100,140,119,35,394,0,0,0,0,50,444,No,No,0,444,Yes,2/10/2015,No,,,,,,"FSW, CEC",,0,0,0,0,0
3/23/2015 19:58:50,3/23/2015,Meph,Siddharth,3%,No,2173,110,120,136,40,406,,,,0,38,444,No,No,0,444,Yes,,No,,,,,,"FSW, CEC",,,,,,
2/6/2015 3:07:25,1/10/2015,kqm,,4%,Yes,2174,,,,,443,,,,0,0,443,No,,0,443,Yes,2/5/2015,No,,,,,,"FSW, CEC",,443,443,0,0,0
2/6/2015 12:35:34,1/2/2015,atmtaatmta,atmtaatmta,4%,No,2174,100,126,122,,348,,20,,20,75,443,No,No,0,443,Yes,2/5/2015,No,,,,,,FSW,,0,0,0,0,0
2/17/2015 5:23:08,2/16/2015,funmohan,funmohan,4%,No,2174,100,112,112,35,359,8,0,,8,76,443,No,No,0,443,No,2/10/2015,No,,,,,,CEC,,0,0,0,0,0
1/29/2015 2:40:31,12/1/2015,RoughRider,,5%,No,2171,110,135,119,40,404,,,,0,38,442,No,No,0,442,No,,,,,,,,CEC,,0,0,0,0,0
1/31/2015 6:00:10,1/30/2015,sdsdsd,sdsd,5%,No,4132,95,126,122,0,343,10,14,0,24,75,442,No,No,0,442,Yes,1/30/2015,,,,,,,FSW,,0,0,0,0,0
1/30/2015 6:53:03,12/5/2014,Joshua,Joshua,5%,Yes,3142,85,126,122,0,333,8,0,0,8,100,441,No,No,0,441,Yes,1/1/2015,,,,,,,FSW,,0,0,0,0,0
12/28/2014 2:29:50,12/27/2014,trini_ac,,5%,Yes,1311,110,120,136,,366,,,,0,75,441,No,No,0,441,Yes,1/1/2015,,,,,,,,,0,0,0,0,0
1/13/2015 17:29:21,1/9/2015,anishsm,Anish Mohile,5%,Yes,2173,110,120,136,,366,,,,0,75,441,No,No,0,441,Yes,1/9/2015,,,,,,,FSW,,0,0,0,0,0
1/16/2015 6:11:08,1/15/2015,irfan_ul.haque,Irfan ,5%,No,6221,110,120,136,0,366,0,0,0,0,75,441,No,No,0,441,No,,,,,,,,"FSW, PNP",,0,0,0,0,0
1/31/2015 0:17:21,1/30/2015,patriwang,Patrick,5%,Yes,3215,110,120,133,40,373,,,,0,38,441,No,No,0,441,Yes,1/30/2015,,,,,,,"FSW, CEC",,0,0,30,0,30
2/14/2015 20:53:02,2/14/2015,ablakitra,Cheena,5%,No,2173,110,120,136,0,366,0,0,0,0,75,441,No,No,0,441,Yes,1/2/2015,No,,,,,,"FSW, PNP",,0,0,0,0,0
3/3/2015 22:51:09,2/5/2015,e00007475,Sukh singh,5%,Yes,2231,100,119,112,35,366,6,12,7,25,50,441,No,No,0,441,Yes,2/5/2015,No,,,,,,"FSW, CEC",,0,0,0,0,0
12/3/2014 23:52:51,12/4/2014,rajulita02,Raj,6%,No,2171,90,126,116,0,332,8,,0,8,100,440,No,No,0,440,Yes,1/1/2015,,,,,,,,,0,0,0,0,0
1/16/2015 21:24:14,1/3/2015,Ostad_Daneshgah,Ostad,6%,Yes,4011,66,150,124,0,340,0,0,0,0,100,440,No,No,0,440,Yes,1/16/2015,,,,,,,FSW,,0,0,0,0,0
1/27/2015 10:16:11,1/26/2015,bhav,bhavneet kaur,6%,Yes,6211,110,128,112,40,390,0,0,0,0,50,440,No,No,0,440,No,,,,,,,,"FSW, PNP, CEC, FST",,0,0,0,0,0
12/16/2014 2:36:26,12/15/2014,etkuo,,6%,No,2271,110,90,136,53,389,,,,0,50,439,No,No,0,439,Yes,1/1/2015,,,,,,,,,0,0,0,0,0
2/18/2015 23:53:22,2/18/2015,incanada2014,canada2014,6%,Yes,2174,100,119,98,35,352,0,12,0,12,75,439,No,No,0,439,Yes,1/9/2015,No,,,,,,"FSW, CEC",,0,0,0,0,0
12/6/2014 20:08:12,12/6/2014,pranaEE2015,Prana,6%,No,2171,75,126,125,0,326,0,12,0,12,100,438,No,No,0,438,Yes,1/1/2015,,,,,,,,,0,0,0,0,0
1/7/2015 17:40:20,1/7/2015,ru367,,6%,No,1121,100,112,125,0,337,8,18,0,26,75,438,No,No,0,438,No,1/7/2015,,,,,,,FSW,,0,0,0,0,0
1/21/2015 22:55:24,1/19/2015,do-not-remember,,6%,No,2174,110,120,133,0,363,0,0,0,0,75,438,No,No,0,438,Yes,1/16/2015,,,,,,,FSW,,0,0,0,0,0
2/7/2015 2:47:20,2/7/2015,rubyracer,GR,6%,No,2173,110,120,133,0,363,0,0,0,0,75,438,No,No,0,438,Yes,2/6/2015,No,,,,,,"FSW, PNP, CEC",,0,0,0,0,0
2/18/2015 7:14:30,2/17/2015,Beancounter,Beancounter,6%,No,1111,77,128,133,0,338,0,0,0,0,100,438,No,No,0,438,Yes,2/17/2015,No,,,,,,FSW,,0,0,0,0,0
3/1/2015 18:50:16,3/1/2015,patnikrishna,Krishna,6%,No,2173,110,120,133,0,353,,,,0,75,438,No,No,0,438,Yes,2/17/2015,No,,,,,,FSW,,0,0,10,0,10
3/3/2015 21:18:12,3/3/2015,hamidur,Hamidur,6%,Yes,131,80,126,122,0,328,0,10,0,10,100,438,No,No,0,438,Yes,3/2/2015,No,,,,,,FSW,,0,0,0,0,0
3/13/2015 6:32:18,3/12/2015,Schweiz,Grace,6%,No,4163,110,120,130,40,400,,,,0,38,438,No,No,0,438,Yes,2/18/2015,No,,,,,,"FSW, CEC",,0,0,0,0,0
3/21/2015 10:52:47,3/15/2015,luckypras,lucky,6%,Yes,2171,0,,,,329,,,,9,100,438,No,No,0,438,Yes,3/15/2015,No,,,,,,,,338,338,0,0,0
1/4/2015 23:20:43,1/4/2015,arbhatti77,Adnan,7%,No,2134,75,140,122,0,337,,,,0,100,437,No,No,0,437,Yes,1/4/2015,,,,,,,FSW,,0,0,0,0,0
2/4/2015 6:29:00,2/3/2015,pksahoo,pks,7%,Yes,2170,85,126,80,46,337,0,0,0,0,100,437,Yes,No,0,437,Yes,2/2/2015,No,,,,,,"FSW, CEC",,0,0,0,0,0
2/11/2015 5:16:06,2/10/2015,stubish,Stuart,7%,No,4217,70,112,125,70,377,0,0,10,10,50,437,Yes,No,0,437,Yes,1/1/2015,No,,,,,,"FSW, CEC",,0,0,0,0,0
2/17/2015 6:50:36,2/16/2015,1zntiz2N8Cie08Z3MxBucMRbdYS-AQVGSUIvQFtqY_LQ,Ranjith,7%,Yes,2173,110,135,89,53,387,,,,0,50,437,Yes,No,0,437,Yes,2/11/2015,No,,,,,,"FSW, CEC",,0,0,0,0,0
2/19/2015 20:25:53,2/19/2015,ghaniimran,God,7%,Yes,2171,70,126,125,,321,,16,,16,100,437,No,No,0,437,Yes,1/21/2015,No,,,,,,FSW,,0,0,0,0,0
3/10/2015 12:36:29,3/10/2015,amal007jos,Amal Jose George,7%,No,3142,100,126,116,0,342,8,12,0,20,75,437,No,No,0,437,No,,No,,,,,,FSW,,0,0,0,0,0
3/12/2015 9:31:08,3/11/2015,monishsuri,Monish Suri,7%,No,2173,100,126,128,0,354,8,0,0,8,75,437,No,No,0,437,No,,No,,,,,,FSW,,0,0,0,0,0
12/8/2014 9:17:50,12/7/2014,kiran_6sb,kiran,8%,No,2282,110,128,108,40,386,,,,0,50,436,No,No,0,436,Yes,1/1/2015,,,,,,,,,0,0,0,0,0
12/24/2014 10:15:21,12/23/2014,GreenBay,King,8%,Yes,2171,105,120,136,0,361,0,0,0,0,75,436,No,No,0,436,Yes,1/1/2015,,,,,,,,,0,0,0,0,0
1/13/2015 15:27:47,1/13/2015,Atreides,,8%,Yes,2132,65,126,125,0,316,0,20,0,20,100,436,No,No,0,436,Yes,1/13/2015,,,,,,,FSW,,0,0,0,0,0
1/27/2015 2:03:59,1/25/2015,achigs,Anurag,8%,Yes,2173,75,126,125,0,326,0,10,0,10,100,436,No,No,0,436,Yes,1/6/2015,,,,,,,FSW,,0,0,0,0,0
3/2/2015 17:13:14,3/2/2015,SJTZ,SJ,8%,Yes,112,95,126,122,,343,,18,,18,75,436,No,No,0,436,Yes,1/5/2015,No,,,,,,FSW,,0,0,0,0,0
3/17/2015 22:29:54,3/17/2015,CanDreamerz,,8%,No,2174,100,112,125,,337,8,16,,24,75,436,No,No,0,436,Yes,3/15/2015,No,,,,,,,,0,0,0,0,0
12/4/2014 2:10:04,12/3/2014,ssony,sony,9%,Yes,2172,100,112,122,0,338,10,12,0,22,75,435,No,No,0,435,Yes,1/1/2015,,,,,,,,,4,4,0,0,0
12/24/2014 18:35:55,12/24/2014,mastcanada,Aditya P,9%,Yes,2281,90,119,64,35,308,9,18,0,27,100,435,No,No,0,435,Yes,1/1/2015,,,,,,,,,0,0,0,0,0
1/29/2015 1:31:12,1/28/2015,new2this,Diana,9%,No,1112,110,120,130,0,360,0,0,0,0,75,435,No,No,0,435,Yes,1/12/2015,,,,,,,FSW,,0,0,0,0,0
2/14/2015 17:07:38,2/14/2015,ankurgupta325,Ankur,9%,Yes,2171,110,120,130,0,360,0,0,0,0,75,435,No,No,0,435,Yes,2/14/2015,No,,,,,,FSW,,0,0,0,0,0
2/15/2015 17:15:04,2/15/2015,san_mgs,Sanjeeva Dharshana Samaranayake,9%,Yes,2174,110,120,130,0,360,,,,0,75,435,No,No,0,435,Yes,1/2/2015,No,,,,,,FSW,,0,0,0,0,0
3/9/2015 1:18:21,3/9/2015,hasan23021,md Nurul hasan ,9%,No,2113,95,126,119,0,340,0,0,0,0,75,435,No,No,0,435,No,,No,,,,,,"FSW, PNP",,20,20,20,0,20
1/9/2015 19:23:07,1/9/2015,desertfox,Desertfox,10%,Yes,6211,70,126,128,0,324,0,10,0,10,100,434,No,No,0,434,Yes,1/1/2015,,,,,,,FSW,,0,0,0,0,0
12/28/2014 0:22:36,12/28/2014,Milcah,Milcah,10%,Yes,2174,100,112,125,0,337,8,14,0,22,75,434,No,No,0,434,Yes,1/1/2015,,,,,,,,,0,0,0,0,0
1/20/2015 12:50:49,1/20/2015,MyLifeMyWorld,Ashish,10%,Yes,2171,80,126,128,50,384,0,0,0,0,50,434,No,No,0,434,Yes,1/20/2015,,,,,,,,,0,0,0,0,0
1/29/2015 23:15:17,1/2/2015,ginni,ginnirick,10%,Yes,3132,100,112,119,0,331,10,18,0,28,75,434,No,No,0,434,Yes,1/24/2015,,,,,,,FSW,,0,0,0,0,0
1/3/2015 20:53:40,1/3/2015,sumit.singh.hallan,Sumit Singh Hallan,10%,No,2171,110,120,128,0,358,0,0,0,0,75,433,No,No,0,433,No,,,,,,,,,,0,0,0,0,0
2/8/2015 12:59:14,2/8/2015,alimoh,alimoh,10%,No,2132,110,120,127,40,397,0,0,0,0,26,433,No,No,0,433,No,,No,,,,,,CEC,,10,10,10,0,10
2/8/2015 17:08:37,1/3/2015,prabk85,prabk,10%,No,2131,100,112,128,0,340,0,18,0,18,75,433,No,No,0,433,Yes,2/8/2015,No,,,,,,FSW,,0,0,0,0,0
3/11/2015 23:39:23,3/11/2015,mmc,mmc,10%,No,1123,110,120,111,40,381,0,0,0,0,52,433,No,No,0,433,Yes,2/15/2015,No,,,,,,"FSW, CEC",,0,0,0,0,0
3/14/2015 2:06:46,3/13/2015,daw422,Daniel,10%,No,2221,110,135,122,40,407,,,,0,26,433,No,No,0,433,No,,No,,,,,,CEC,,0,0,0,0,0
12/25/2014 17:50:24,12/25/2014,theo85,theo,11%,No,3012,110,120,127,0,357,0,0,0,0,75,432,No,No,0,432,Yes,1/1/2015,,,,,,,,,0,0,0,0,0
1/3/2015 0:51:09,1/2/2015,namaste,,11%,Yes,2281,100,112,125,0,337,0,20,0,20,75,432,No,No,0,432,Yes,1/1/2015,,,,,,,,,0,0,0,0,0
1/13/2015 8:21:51,1/1/2015,gpreet123,Gurpreet Singh,11%,Yes,2173,110,120,127,0,357,0,0,0,0,75,432,No,No,0,432,Yes,1/1/2015,,,,,,,FSW,,0,0,0,0,0
2/1/2015 14:51:24,1/29/2015,VIVAH BLESSED,VIVIAN JUMBA,11%,Yes,4214,110,120,127,0,382,0,0,0,0,50,432,No,No,0,432,Yes,1/1/2015,,,,,,,FSW,,25,25,0,0,0
2/15/2015 4:19:16,2/14/2015,Ed Lima,Ed Lima,11%,No,2174,110,120,127,0,357,0,0,0,0,75,432,No,No,0,432,Yes,1/1/2015,No,,,,,,FSW,,0,0,0,0,0
2/19/2015 22:16:35,2/19/2015,ankrggrwl,ankrggrwl,11%,No,6221,110,120,111,53,394,0,0,0,0,38,432,No,No,0,432,Yes,1/8/2015,No,,,,,,"FSW, CEC",,0,0,0,0,0
